station,horizon,rmse_lags_only,mae_lags_only,skill_rmse_vs_persistence_lags_only,skill_mae_vs_persistence_lags_only,rmse_lags_meteo,mae_lags_meteo,skill_rmse_vs_persistence_lags_meteo,skill_mae_vs_persistence_lags_meteo,delta_rmse_meteo_minus_lags,delta_mae_meteo_minus_lags,delta_skill_rmse_meteo_minus_lags,delta_skill_mae_meteo_minus_lags
Pearse street dublin,12,10.712239128964091,7.540681077611348,0.2636006248832294,0.2103253505128061,10.116458218988424,7.168438873060124,0.3045568325005821,0.2493072712939515,-0.5957809099756677,-0.3722422045512239,0.04095620761735269,0.0389819207811454
Pearse street dublin,13,9.958394650590684,7.150459771945317,0.2770545266431815,0.2388269695372872,9.410465525115386,6.768191673554243,0.3168323116056635,0.2795197607957145,-0.5479291254752976,-0.3822680983910738,0.03977778496248202,0.04069279125842731
Pearse street dublin,14,9.874400418371742,6.739429722971363,0.2739244238030023,0.2556675650136971,9.58374362536286,6.451613073332081,0.2952967390340971,0.2874553091495843,-0.2906567930088819,-0.2878166496392822,0.021372315231094785,0.0317877441358872
Pearse street dublin,15,9.388708113981256,6.787110150097028,0.2792281778238328,0.2350925794966102,8.963536928397703,6.585482915581912,0.311868601452884,0.2578159719928974,-0.4251711855835527,-0.201627234515116,0.032640423629051174,0.022723392496287215
Pearse street dublin,16,9.562912730794125,7.0762877947130605,0.2679171821427556,0.2132760795242704,9.129950256675718,6.8070838160504845,0.3010623542259819,0.2432055023579943,-0.4329624741184066,-0.26920397866257595,0.03314517208322626,0.02992942283372388
Pearse street dublin,17,8.779888437289184,6.557869245928345,0.3041016017053483,0.2447752455953074,8.660411600799298,6.460658479719013,0.3135713961953902,0.2559703417893215,-0.11947683648988594,-0.097210766209332,0.009469794490041927,0.011195096194014098
Pearse street dublin,18,9.280756230590162,6.613647316426495,0.2704015645466555,0.2276983713732356,9.28240677575478,6.527210238828466,0.2702718083996531,0.2377919691429404,0.0016505451646171565,-0.08643707759802943,-0.00012975614700239113,0.01009359776970481
Pearse street dublin,19,9.73795677004548,6.665255464887339,0.2492141578926864,0.1975789131368502,9.623507778150952,6.571400705506695,0.2580380502950619,0.208877960626663,-0.11444899189452862,-0.09385475938064403,0.008823892402375494,0.011299047489812808
Pearse street dublin,20,9.09871727453239,6.530400356401252,0.2661044621589384,0.1947146338210481,9.121231748192136,6.527044768469723,0.2642884620286807,0.1951284225183274,0.02251447365974535,-0.003355587931529236,-0.0018160001302576778,0.0004137886972793159
Pearse street dublin,21,9.368077328058876,6.512871713274087,0.2557300935697628,0.202470196535821,9.486454867555898,6.5780485178511485,0.2463252992710434,0.1944890099819965,0.1183775394970219,0.0651768045770611,-0.009404794298719377,-0.007981186553824487
Pearse street dublin,22,10.075683215258003,6.762273755426539,0.2354650187274874,0.2221103798239497,9.937549087901113,6.810401513147951,0.2459465285383527,0.2165740640035807,-0.13813412735689035,0.048127757721412756,0.010481509810865292,-0.005536315820369009
Pearse street dublin,23,10.76335723603422,7.134786396207361,0.2156029782201776,0.2095598140586975,10.657834967030976,7.202614784441019,0.2232930837999204,0.2020453236689064,-0.10552226900324513,0.06782838823365811,0.007690105579742812,-0.007514490389791101
Pearse street dublin,24,12.437057439842174,8.215303805672002,0.1259058169057975,0.1512505947223033,11.573742023643948,8.026207937325566,0.1865808589826311,0.1707866958326115,-0.8633154161982262,-0.18909586834643655,0.06067504207683361,0.019536101110308207
Ringsend dublin,1,5.0384678632846,2.8057134403495168,0.2432381490420754,0.1294437447377564,4.7836856594836,2.8031278813283684,0.2815056258567217,0.1302459915199261,-0.2547822038009997,-0.0025855590211483204,0.03826747681464626,0.0008022467821696966
Ringsend dublin,2,15.746901863811594,4.3980734356279,0.0721433346041672,0.1214171488171436,15.580164178414154,4.2349750371575725,0.0819680400672925,0.1539985638500556,-0.1667376853974396,-0.1630983984703276,0.009824705463125291,0.03258141503291198
Ringsend dublin,3,5.817648717853347,3.973923212633514,0.3664469512246097,0.1613119023137642,5.531653899296918,3.889949821055027,0.3975923328070935,0.1790343091824541,-0.2859948185564285,-0.08397339157848682,0.03114538158248381,0.01772240686868992
Ringsend dublin,4,5.591582032322106,4.225442893981048,0.3922902876680078,0.1608430041154311,5.715590572779238,4.270856453439009,0.3788126718497494,0.1518240427702303,0.12400854045713228,0.04541355945796077,-0.013477615818258348,-0.009018961345200804
Ringsend dublin,5,6.076358595636607,4.419855348847577,0.3838633911336381,0.174430628121069,6.4574560082482035,4.497495996090161,0.3452204993821756,0.1599284022975368,0.3810974126115969,0.07764064724258457,-0.038642891751462516,-0.014502225823532194
Ringsend dublin,6,7.195487772961214,5.177281497384677,0.3279010286917282,0.1400741297283781,7.447893411042133,5.299565457666953,0.3043249244637336,0.1197632501636652,0.2524056380809192,0.1222839602822754,-0.02357610422799461,-0.020310879564712905
Ringsend dublin,7,10.187575043940436,6.555511647910246,0.226342727698307,0.0840273791192,10.057173195419011,6.383453788293026,0.2362456082164917,0.108068262132041,-0.13040184852142467,-0.17205785961722064,0.00990288051818472,0.024040883012841005
Ringsend dublin,8,10.564032006682067,7.01487490383317,0.225814283514948,0.1049684572988062,10.605147731341653,7.112291880603463,0.2228011151778729,0.0925389744927255,0.04111572465958524,0.09741697677029304,-0.0030131683370751006,-0.012429482806080708
Ringsend dublin,9,11.251446001691193,7.880540592376195,0.2200602992005603,0.111762592358367,10.631407117083192,7.271824877182826,0.2630408140670489,0.1803726150485807,-0.6200388846080003,-0.6087157151933686,0.04298051486648857,0.06861002269021371
Ringsend dublin,10,11.117277513711675,8.264849596326048,0.2274982134834928,0.0934286500877135,10.615157484070773,7.626774921130427,0.2623888258177547,0.1634190610316802,-0.5021200296409027,-0.6380746751956208,0.03489061233426188,0.06999041094396669
