station_id,province,municipality,station_code,first_date,last_date,usable_days,usable_years,coverage_total,support_days,source_years_present,usable_days_2020,usable_days_2021,usable_days_2022,usable_days_2023
38011006_10_A,38,11,6,2020-01-01,2023-12-31,1424,4,0.974674880219,1461,4,360,356,357,351
38011007_10_49,38,11,7,2020-01-01,2023-12-31,1421,4,0.972621492129,1461,4,357,355,357,352
38017001_10_46,38,17,1,2020-01-01,2023-12-29,1428,4,0.978752570254,1459,4,358,358,360,352
38017002_10_46,38,17,2,2020-01-01,2023-12-29,1441,4,0.987662782728,1459,4,359,361,358,363
38017003_10_46,38,17,3,2020-01-01,2023-12-29,1425,4,0.976696367375,1459,4,344,359,359,363
38033001_10_49,38,33,1,2020-01-01,2023-12-31,1330,4,0.910335386721,1461,4,326,329,333,342
38036001_10_49,38,36,1,2020-01-01,2023-12-31,1353,4,0.926078028747,1461,4,327,321,348,357
38036002_10_49,38,36,2,2020-01-01,2023-12-31,1435,4,0.982203969884,1461,4,359,361,361,354
38037001_10_49,38,37,1,2020-01-01,2023-12-31,1418,4,0.970568104038,1461,4,357,356,348,357
38038012_10_46,38,38,12,2020-01-01,2023-12-31,1401,4,0.958932238193,1461,4,349,361,346,345
38038021_10_49,38,38,21,2020-01-01,2023-12-31,1406,4,0.962354551677,1461,4,336,358,354,358
38038022_10_46,38,38,22,2020-01-01,2023-12-31,1317,3,0.901437371663,1461,4,341,290,345,341
38038023_10_49,38,38,23,2020-01-01,2023-12-31,1386,4,0.948665297741,1461,4,350,339,342,355
